LAT LON DEPTH Vs
-1.313249999999999973e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
-1.313249999999999973e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
-4.377500000000000141e-02 -9.153212500000000773e+01 2.000000000000000000e+00 nan
-4.377500000000000141e-02 -9.144457500000000039e+01 2.000000000000000000e+00 2.125563083342734139e+00
-1.313249999999999973e-01 -9.153212500000000773e+01 2.000000000000000000e+00 2.006344800210156709e+00
-1.313249999999999973e-01 -9.144457500000000039e+01 2.000000000000000000e+00 2.143113751978630965e+00
-2.188749999999999862e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
-2.188749999999999862e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
-3.064250000000000029e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
-3.064250000000000029e-01 -9.161967500000000086e+01 2.000000000000000000e+00 2.084599859599836957e+00
-2.188749999999999862e-01 -9.153212500000000773e+01 2.000000000000000000e+00 2.153297520883100891e+00
-2.188749999999999862e-01 -9.144457500000000039e+01 2.000000000000000000e+00 2.117556329175930507e+00
-3.064250000000000029e-01 -9.153212500000000773e+01 2.000000000000000000e+00 2.115142741898296652e+00
-3.064250000000000029e-01 -9.144457500000000039e+01 2.000000000000000000e+00 2.123551186464718743e+00
-4.377500000000000141e-02 -9.135702500000000725e+01 2.000000000000000000e+00 2.140525814750360745e+00
-4.377500000000000141e-02 -9.126947499999999991e+01 2.000000000000000000e+00 2.082573589881175913e+00
-1.313249999999999973e-01 -9.135702500000000725e+01 2.000000000000000000e+00 2.021407819551153118e+00
-1.313249999999999973e-01 -9.126947499999999991e+01 2.000000000000000000e+00 2.108698046904332379e+00
-4.377500000000000141e-02 -9.118192500000000678e+01 2.000000000000000000e+00 2.045377457250551423e+00
-4.377500000000000141e-02 -9.109437499999999943e+01 2.000000000000000000e+00 2.108071631284707870e+00
-1.313249999999999973e-01 -9.118192500000000678e+01 2.000000000000000000e+00 2.106532281320041555e+00
-1.313249999999999973e-01 -9.109437499999999943e+01 2.000000000000000000e+00 2.128529237828517218e+00
-2.188749999999999862e-01 -9.135702500000000725e+01 2.000000000000000000e+00 2.124615849731938955e+00
-2.188749999999999862e-01 -9.126947499999999991e+01 2.000000000000000000e+00 2.108099809920131129e+00
-3.064250000000000029e-01 -9.135702500000000725e+01 2.000000000000000000e+00 2.039859396621629184e+00
-3.064250000000000029e-01 -9.126947499999999991e+01 2.000000000000000000e+00 2.123345678888906018e+00
-2.188749999999999862e-01 -9.118192500000000678e+01 2.000000000000000000e+00 2.190991904138864577e+00
-2.188749999999999862e-01 -9.109437499999999943e+01 2.000000000000000000e+00 2.134028786467688565e+00
-3.064250000000000029e-01 -9.118192500000000678e+01 2.000000000000000000e+00 2.101042758314447312e+00
-3.064250000000000029e-01 -9.109437499999999943e+01 2.000000000000000000e+00 2.087112868584235947e+00
-4.377500000000000141e-02 -9.100682500000000630e+01 2.000000000000000000e+00 2.083432947986312733e+00
-4.377500000000000141e-02 -9.091927499999999895e+01 2.000000000000000000e+00 2.621025235612698623e+00
-1.313249999999999973e-01 -9.100682500000000630e+01 2.000000000000000000e+00 2.662695166570197891e+00
-1.313249999999999973e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.663687091876062674e+00
-4.377500000000000141e-02 -9.083172500000000582e+01 2.000000000000000000e+00 2.657800859945183891e+00
-4.377500000000000141e-02 -9.074417499999999848e+01 2.000000000000000000e+00 2.683329395061015976e+00
-1.313249999999999973e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.636027970189904757e+00
-1.313249999999999973e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.685602037705223655e+00
-2.188749999999999862e-01 -9.100682500000000630e+01 2.000000000000000000e+00 2.663735833468506176e+00
-2.188749999999999862e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.705247301914794011e+00
-3.064250000000000029e-01 -9.100682500000000630e+01 2.000000000000000000e+00 2.726872437119351567e+00
-3.064250000000000029e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.703620190213524399e+00
-2.188749999999999862e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.698449888934389751e+00
-2.188749999999999862e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.642854629484960860e+00
-3.064250000000000029e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.714695249914867325e+00
